Organisation_Match,Sector
BUMADE HEALTHCARE SERVICES LTD,Healthcare
BUMBLE BEES DAY NURSERY LTD,Education
BUMBLEBEE IT SOLUTIONS LTD,Technology
BUMPER INTERNATIONAL LIMITED,Finance
BUOYANT CARE UK LIMITED,Healthcare
BUPA OCCUPATIONAL HEALTH LIMITED,Healthcare
BURDA PRINCIPAL INVESTMENTS LIMITED,Finance
BUREAU CONSULTING LIMITED,Technology
BUREAU PROBERTS INTERNATIONAL LIMITED,Engineering
BURFORD CAPITAL (UK) LIMITED,Finance
BURGUNDY CARE SERVICES LTD,Healthcare
BURLINGTON MEDIA GROUP LTD,Technology
BURLINGTON NURSING HOME LIMITED,Healthcare
BURLINGTON SCHOOL LIMITED,Education
BURNS & MCDONNELL EUROPE (UK) LIMITED,Engineering
BURO HAPPOLD ENGINEERS LIMITED,Engineering
BURRELL & MISTRY LTD,Engineering
BURRELL CARE LTD,Healthcare
BURSON BUCHANAN LIMITED,Finance
BURTON HEALTHCARE LIMITED,Healthcare
BURTON INTERNATIONAL CONSULTANCY LIMITED,Education
BUSBY HOUSE DENTAL CENTRE LIMITED,Healthcare
BUSCON LIMITED,Technology
BUSH HOUSE PEMBROKE LIMITED,Healthcare
BUSINESS COMMUNICATIONS AND SERVICES GROUP LIMITED,Technology
BUSINESS CONNEXION LIMITED,Technology
BUSINESS DISABILITY FORUM,Healthcare
BUSINESS EXCELLENCE EUROPE LIMITED,Technology
BUSINESS INSIDER EUROPE LIMITED,Technology
BUSINESS INSIGHTS PRIVATE LIMITED,Technology
BUSINESS INSURANCE SOLUTIONS LIMITED,Finance
BUSINESS INTELLIGENCE AND STRATEGY LIMITED,Technology
BUSINESS SCHOOL ENGLAND LIMITED,Education
BUSINESS SCIENCE CORPORATION LTD,Technology
BUSINESS SYSTEMS (U.K.) LIMITED,Engineering
BUSINESS SYSTEMS INTERNATIONAL LTD.,Technology
BUSINESS TOGETHER LIMITED,Technology
BUSINESS TOOLS AND SOLUTIONS LIMITED,Technology
BUSINESSMOBILES.COM LTD,Technology
BUSINESSOPTIX LIMITED,Technology
BUSUU LIMITED,Technology
BUSY BEES CARE LIMITED,Healthcare
BUTACARE LIMITED,Healthcare
BUTE HOUSE PREPARATORY SCHOOL FOR GIRLS LIMITED,Education
BUTLER INVESTMENT MANAGERS LIMITED,Finance
BUTTERCROSS DENTAL LTD,Healthcare
BUTTERFLY CHILDMINDING LTD,Healthcare
BUTTERFLY PROJECTS LTD,Technology
BUTTON TECH UK LIMITED,Technology
BUYERDECK LIMITED,Technology
BUZZ RADAR LIMITED,Technology
BUZZFEED UK LIMITED,Technology
BVN UK ARCHITECTURE LTD,Engineering
BVNK SERVICES LIMITED,Finance
BVP UK & EUROPE INVESTORS LIMITED,Finance
BW BUSINESS SOLUTIONS (UK) LTD,Education
BW CDMO HOLDINGS UK LIMITED,Finance
BW FLEXIBLE SYSTEMS UK LIMITED,Engineering
BW OFFSHORE (UK) LIMITED,Engineering
BWA HEALTH & CARE SERVICES LTD,Healthcare
BWAM UK LIMITED,Finance
BYLAND ENGINEERING LIMITED,Engineering
BYNDER LIMITED,Technology
BYRNE LOOBY PARTNERS (UK) LIMITED,Technology
BYTES SOFTWARE SERVICES LIMITED,Technology
BYTESNAP DESIGN LIMITED,Technology
BZ TECHNOLOGY LIMITED,Technology
C & C RESERVOIRS LIMITED,Engineering
C & K HEALTHCARE LIMITED,Healthcare
C & M WEALTH INTERNATIONAL LTD,Finance
C SQUARED NETWORKS LTD,Technology
C THE SIGNS LIMITED,Technology
C VAP CIC,Education
C W RESEARCH LIMITED,Technology
C WZRD LIMITED,Education
C&O SLS LIMITED,Healthcare
C-CHANGE SCOTLAND,Healthcare
C-MART SOLUTIONS LIMITED,Technology
C. HOARE & CO.,Finance
C.E.A.TOWNE(SHIP RIGGERS)LIMITED,Engineering
C.K. CRANE (INTERNATIONAL) LIMITED,Engineering
C24 HEALTHCARE LTD,Healthcare
C2FO LTD,Technology
C3 MEDIA LIMITED,Technology
C40 CITIES CLIMATE LEADERSHIP UK,Engineering
C6 DIGITAL LTD,Technology
CA AUTO FINANCE UK LTD,Finance
CAA ICON UK LIMITED,Finance
CAAFI HEALTH CIC,Education
CAAL LIMITED,Technology
CAB MANAGEMENT SYSTEM LTD,Technology
CABLE AND DEVICES UK LIMITED,Technology
CABLE AND SPLICING SERVICES LIMITED,Technology
CABOT LEARNING FEDERATION,Education
CABOT UK HOLDCO LIMITED,Finance
CACHE NET IT LIMITED,Technology
CACI LIMITED,Technology
CACTUS COMMUNICATIONS LIMITED,Healthcare
CAD ARCHITECTURE (MIDLANDS) LTD,Engineering
CAD CAM CONSULTANCY LTD,Engineering
CADJU LIMITED,Technology
CADOG HOMECARE LTD,Healthcare
CADONIX LTD,Technology
CADUCIFER MEDICAL SERVICES LIMITED,Healthcare
CAE (UK) PLC,Engineering
CAE TECHNOLOGY SERVICES LIMITED,Technology
CAERUS LIFECARE LIMITED,Healthcare
CAESARS TRADING AND TECHNOLOGY SERVICES LIMITED,Finance
CAESIGMA SOLUTIONS UK LTD,Technology
CAF RAIL UK LIMITED,Engineering
CAFETAX UK LIMITED,Technology
CAGAN TECH LIMITED,Technology
CAIMAN SOFTWARE DEVELOPMENT LIMITED,Technology
CAIRLLUM CARE LTD,Healthcare
CAIRNHILL STRUCTURES LIMITED,Engineering
CAIUS CAPITAL SERVICES LIMITED,Finance
CALCINOTTO LIMITED,Engineering
CALDERDALE HOME CARE LIMITED,Healthcare
CALDWELL & BELING LTD,Healthcare
CALDWELL CONSULTING ENGINEERS LIMITED,Engineering
CALEDONIAN CARE CONSULTANTS LTD,Healthcare
CALENDULA (BEBINGTON) LIMITED,Healthcare
CALEY HOME CARE LTD,Healthcare
CALIBRE GLOBAL LIMITED,Technology
CALIBRECODE SOLUTIONS LTD,Technology
CALIFORNIA BIDCO LIMITED,Finance
CALIGRA LTD,Technology
CALISTAA LIMITED,Healthcare
CALL SYSTEMS TECHNOLOGY LIMITED,Technology
CALLIGO (UK) LIMITED,Technology
CALLMARKER UK LTD,Technology
CALLOSUM LTD,Engineering
CALLQUEST FOR CARE LIMITED,Healthcare
CALLS9 LIMITED,Technology
CALM FUTURES LTD,Healthcare
CALNEX SOLUTIONS PLC,Technology
CALROM LIMITED,Technology
CALSAN LIMITED,Healthcare
CALTON SYSTEMS LIMITED,Healthcare
CALVARY CARE LTD,Healthcare
CALVERCARE LIMITED,Healthcare
CALYX SOLUTIONS UK LTD,Technology
CAMASCOPE LIMITED,Technology
CAMBIO HEALTHCARE SYSTEMS LIMITED,Technology
CAMBRIAN ROBOTICS LIMITED,Technology
CAMBRIDGE ALLERGY LTD,Engineering
CAMBRIDGE ARTS & SCIENCES LIMITED,Education
CAMBRIDGE ASSOCIATES LIMITED,Finance
CAMBRIDGE CARE COMPANY LIMITED,Healthcare
CAMBRIDGE CENTER FOR EDUCATION EXCHANGE LTD,Education
CAMBRIDGE CITY COMPANY LIMITED,Education
CAMBRIDGE COLLEGE OF MANAGEMENT AND SCIENCES LTD,Education
CAMBRIDGE CONSULTANTS LIMITED,Engineering
CAMBRIDGE CULTURE EXCHANGE LTD,Education
CAMBRIDGE DENTAL HUB LTD,Healthcare
CAMBRIDGE DREAM LIMITED,Education
CAMBRIDGE DYNAMICS LIMITED,Engineering
CAMBRIDGE FINANCE LTD,Technology
CAMBRIDGE GAN DEVICES LIMITED,Engineering
CAMBRIDGE GUARANTEE LIMITED,Finance
CAMBRIDGE HOUSE AND TALBOT,Healthcare
CAMBRIDGE INNOVATION CAPITAL LIMITED,Finance
CAMBRIDGE MICROELECTRONICS LTD,Engineering
CAMBRIDGE MONTESSORI LTD,Education
CAMBRIDGE NUTRANOSTICS LIMITED,Engineering
CAMBRIDGE PHENOTYPING LIMITED,Engineering
CAMBRIDGE PHOTON TECHNOLOGY LIMITED,Engineering
CAMBRIDGE SENSORIIS LTD,Engineering
CAMBRIDGE SMART PLASTICS LIMITED,Engineering
CAMBRIDGE SPORTS MEDICINE CENTRE LTD,Healthcare
CAMBRIDGE STAR COLLEGE LTD,Education
CAMBRIDGE STEINER SCHOOL PROJECT,Education
CAMBRIDGESHIRE INNOVATION CENTRE LTD,Finance
CAMBUSTION LIMITED,Engineering
CAMCAP MARKETS LIMITED,Finance
CAMDEN HEALTH EVOLUTION LTD,Healthcare
CAMDEN HIGH STREET PRACTICE LIMITED,Healthcare
CAMELOT CARE (YEOVIL) LTD,Healthcare
CAMERON FLOW CONTROL TECHNOLOGY (UK) LIMITED,Engineering
CAMION INFRASTRUCTURE LIMITED,Technology
CAMPAIGN MONITOR EUROPE UK LTD,Technology
CAMPBELL DENTAL PRACTICE LTD,Healthcare
CAMPDEN BRI (CHIPPING CAMPDEN) LIMITED,Engineering
CAMPHILL COMMUNITY CLANABOGAN,Healthcare
CAMPHILL COMMUNITY GLENCRAIG,Healthcare
CAMPHILL COMMUNITY MOURNE GRANGE,Healthcare
CAMPION CAPITAL LIMITED,Finance
CAMPSTEAD LTD,Technology
CAMRON PUBLIC RELATIONS LIMITED,Technology
CAMSHOPPING LIMITED,Technology
CAMVISION EDUCATION LIMITED,Education
CAMWORTH LIMITED,Technology
CANACCORD GENUITY LIMITED,Finance
CANACCORD GENUITY WEALTH LIMITED,Finance
CANALIS TECHNOLOGY LIMITED,Engineering
CANAPII LIMITED,Technology
CANARY CARE SERVICES LTD,Healthcare
CANARY HOUSE CARE LIMITED,Healthcare
CANBURY PRESS LTD,Technology
CANCER RESEARCH UK,Healthcare
CANDELA HEALTHCARE LTD,Healthcare
CANDLEFOX LIMITED,Technology
CANDU LABS LIMITED,Technology
CANNA CARE PHARMA LIMITED,Healthcare
CANNOCK CHASE AND SOUTH STAFFORDSHIRE CARE 28 LIMITED,Healthcare
CANONICAL UK LIMITED,Technology
CANONS HIGH SCHOOL,Education
CANOPY EDUCATION CIC,Technology
CANPACK UK LIMITED,Engineering
CANSFORD LABORATORIES LIMITED,Healthcare
CANTAB RESEARCH LIMITED,Technology
CANTERBURY CARE HOMES LIMITED,Healthcare
CANTERBURY CHRIST CHURCH UNIVERSITY,Education
CANTOURAGE HOLDINGS LTD,Finance
CANVAS8 LIMITED,Technology
CANVERSE GAMES LTD,Technology
CANWICK HOUSE CARE HOME LIMITED,Healthcare
CAONIMA MANDARIN LTD,Education
CAP CODER LIMITED,Engineering
CAPABILITY SCOTLAND,Education
CAPACITY PLACE LIMITED,Finance
CAPCHASE UK LIMITED,Finance
CAPE ANN ASSET MANAGEMENT LTD,Finance
CAPECOM LTD,Technology
CAPELLA CARE LIMITED,Healthcare
CAPGEMINI UK PLC,Technology
CAPI MONEY UK LTD,Finance
CAPILLARY TECHNOLOGIES EUROPE LIMITED,Technology
CAPITA PENSION SOLUTIONS LIMITED,Finance
CAPITA PLC,Technology
CAPITAL CLIENTS LTD,Technology
CAPITAL COMPUTER SOFTWARE LTD,Technology
CAPITAL ENTERPRISE INVESTMENTS LIMITED,Finance
CAPITAL INTEGRATION SYSTEMS UK LIMITED,Technology
CAPITAL INTERNATIONAL LIMITED,Finance
CAPITAL ONE (EUROPE) PLC,Finance
CAPITAL PROPERTY & CONSTRUCTION CONSULTANTS LTD,Engineering
CAPITAL TECH LIMITED,Technology
CAPITALRISE FINANCE LIMITED,Finance
CAPITRAD ADVISORS LIMITED,Finance
CAPLIN SYSTEMS LIMITED,Technology
CAPRI HEALTHCARE LTD,Technology
CAPRICORN WEALTH MANAGEMENT LIMITED,Finance
CAPROCK UK LIMITED,Technology
CAPSA.AI LTD,Technology
CAPSID BIOTECHNOLOGY LTD,Engineering
CAPSIL LIMITED,Finance
CAPSTONE CARE LIMITED,Healthcare
CAPSTONE IT SOLUTIONS LTD,Technology
CAPTUR LIMITED,Technology
CAPTURE ENERGY LTD,Technology
CAPULA LIMITED,Technology
CARA TECHNOLOGY LIMITED,Technology
CARADON HEALTHCARE LTD,Healthcare
CARBOLITE GERO LIMITED,Engineering
CARBON UNDERWRITING LIMITED,Finance
CARBONPLACE UK LIMITED,Finance
CARD GEOTECHNICS LIMITED,Engineering
CARD TRANSACT LIMITED,Finance
CARDANO ADVISORY LIMITED,Finance
CARDIAC DPOW LIMITED,Healthcare
CARDIAC RISK IN THE YOUNG,Healthcare
CARDIATEC BIOSCIENCES LTD,Engineering
CARDIFF & VALE CARING 4 U LIMITED,Healthcare
CARDIFF MONTESSORI SCHOOL LIMITED,Education
CARDINAL INSURANCE MANAGEMENT SYSTEMS LIMITED,Technology
CARDLANE LIMITED,Education
CARDO GROUP LIMITED,Finance
CARDONET CONSULTANCY LTD,Technology
CARDONET LIMITED,Technology
CARDUN CARE CIC,Healthcare
CARE & CARERS LTD,Healthcare
CARE & GRACE LTD,Healthcare
CARE 2 SHARE LIMITED,Healthcare
CARE 2 U LIMITED,Healthcare
CARE 24 (UK) LIMITED,Healthcare
CARE 24-7 LIMITED,Healthcare
CARE 4 CARE SERVICES LTD,Healthcare
CARE 4 J LIMITED,Healthcare
CARE 4 U (C4U) LTD,Healthcare
CARE 4 YOU MANCHESTER LTD,Healthcare
CARE 4U CARE LIMITED,Healthcare
CARE 4U SERVICES (MIDLANDS) LTD,Healthcare
CARE ACRE LIMITED,Healthcare
CARE AGENCY SERVICES LTD,Healthcare
CARE AND COMPASSION AGENCY LTD,Healthcare
CARE AND HOMES LIMITED,Healthcare
CARE AND MANAGEMENT SERVICES LIMITED,Healthcare
CARE AND SUPPORT (RESOURCE) SERVICES LTD,Healthcare
CARE AND SUPPORT TM LTD,Healthcare
CARE AND TRUST LIMITED,Healthcare
CARE ANGELS HOMECARE LIMITED,Healthcare
CARE ASSIST LIMITED,Healthcare
CARE AT HOME (MIDLANDS) LIMITED,Healthcare
CARE AT HOME GROUP LTD,Healthcare
CARE AT HOME READING LIMITED,Healthcare
CARE AT HOME SERVICES LIMITED,Healthcare
CARE AT MY HOME LTD,Healthcare
CARE CENTRAL LTD,Healthcare
CARE CENTRE INC LTD,Healthcare
CARE CHOICE+ LTD,Healthcare
CARE CIRCLE LTD,Healthcare
CARE CONFIDENCE LTD,Healthcare
CARE CONNECT BURY LTD,Healthcare
CARE CONNECT CHESHIRE LTD,Healthcare
CARE CONSORTIUM (BIDDULPH) LIMITED,Healthcare
CARE CORRECT LTD,Healthcare
CARE COVER LIMITED,Healthcare
CARE CYMRU SERVICES LIMITED,Healthcare
CARE DENTAL LTD,Healthcare
CARE DIRECT 24 LIMITED,Healthcare
CARE DIRECT RECRUITMENT LTD,Healthcare
CARE EPSOM & REIGATE LIMITED,Healthcare
CARE ESTEEM LIMITED,Technology
CARE FIRST (SMETHWICK) LTD,Healthcare
CARE FIRST 24 LTD,Healthcare
CARE FIRST SERVICES LIMITED,Healthcare
CARE FOR VETERANS,Healthcare
CARE FOR YOUR LIFE LTD,Healthcare
CARE FORCE LIMITED,Healthcare
CARE GATES SERVICES LTD,Healthcare
CARE HAND SERVICE LTD,Healthcare
CARE HERTS LIMITED,Healthcare
CARE HIRES LIMITED,Technology
CARE HOMES OF DISTINCTION LIMITED,Healthcare
CARE IMPACT LTD,Healthcare
CARE IN HANDS LIMITED,Healthcare
CARE INT LIMITED,Education
CARE INTERNATIONAL UK,Healthcare
CARE JUST 4U LIMITED,Healthcare
CARE LABEL LTD,Healthcare
CARE MATTERS (WILTSHIRE) LIMITED,Healthcare
CARE ME LTD,Healthcare
CARE MEDICAL LIMITED,Healthcare
CARE MK LTD,Healthcare
CARE MOMENTS HEALTHCARE LTD,Healthcare
CARE MORE LIMITED,Healthcare
CARE NAVIGATION LTD,Healthcare
CARE NEXUS LTD,Healthcare
CARE NO1 LTD,Healthcare
CARE OUTLOOK LTD,Healthcare
CARE PARTNERS HEALTH CARE LTD,Healthcare
CARE PERFECT LTD,Healthcare
CARE PERSPECTIVES LIMITED,Healthcare
CARE PESPECTIVE LTD,Healthcare
CARE PLUS DEVON LTD,Healthcare
CARE PLUS MORE LTD,Healthcare
CARE PLUS NW LIMITED,Technology
CARE PLUS RECRUITMENT AGENCY LIMITED,Healthcare
CARE PRO (SOUTH EAST) LIMITED,Healthcare
CARE PROMISE LIMITED,Healthcare
CARE QTERS LTD,Healthcare
CARE REHAB LTD,Healthcare
CARE SANTE LONDON LIMITED,Healthcare
CARE SHIELD SERVICES LIMITED,Healthcare
CARE SOLUTION BUREAU CIC,Healthcare
CARE SOLUTIONS HOMECARE LTD,Healthcare
CARE SOUTH,Healthcare
CARE STAFF LTD,Technology
CARE STAFF SERVICES LTD,Healthcare
CARE SUPPORT MK LTD,Healthcare
CARE SUPPORT SCOTLAND LTD,Healthcare
CARE SUPREME LTD,Healthcare
CARE SYSTEMS (UK) LIMITED,Technology
CARE TO YOU HEALTHCARE LIMITED,Healthcare
CARE TOGETHER LIMITED,Healthcare
CARE U CARE LTD,Healthcare
CARE UNBOUND LIMITED,Healthcare
CARE UNITE LTD,Healthcare
CARE WITH PRIDE LEICESTER LTD,Education
CARE WITH PRIDE LTD,Education
CARE WITHIN LTD,Healthcare
CARE WORLD AGENCY LTD,Healthcare
CARE XY LIMITED,Healthcare
CARE-A-LOT LIMITED,Healthcare
CARE-IN-WALES LTD,Healthcare
CARE1 PROFESSIONAL SERVICES LTD,Healthcare
CARE24 RECRUITMENT LTD,Healthcare
CARE2CARE (YORKSHIRE) LTD,Healthcare
CARE2HOME LTD,Healthcare
CARE2VICTORY SERVICES LTD,Healthcare
CARE4LESS LIMITED,Healthcare
CARE4OCUS LTD,Healthcare
CARE4U TWENTYFOUR LTD,Healthcare
CARE4U WE LTD,Healthcare
CAREBERRY SOFTWARE LTD,Technology
CAREBRIDGE (UK) LIMITED,Healthcare
CARECALL SERVICES LIMITED,Healthcare
CARECROFT LTD,Healthcare
CARED CARE LIMITED,Healthcare
CAREDO LTD,Healthcare
CAREDOM HEALTHCARE LIMITED,Healthcare
CAREER TUTORS LIMITED,Education
CAREFORYOU LTD,Healthcare
CAREFRONT CARE SERVICES LTD,Healthcare
CAREHART LIMITED,Healthcare
CAREHOST SERVICES LIMITED,Healthcare
CARELIFE LTD,Healthcare
CARELIGHT LIMITED,Engineering
CARELINE LIFESTYLES (UK) LTD,Healthcare
CAREMAID SERVICES LIMITED,Healthcare
CAREMARK LIMITED,Healthcare
CARENOVA LTD,Healthcare
CAREPLUS HEALTHCARE SERVICES LTD,Healthcare
CAREPOINT SERVICES LIMITED,Healthcare
CAREPRIDE LIMITED,Healthcare
CARER CONNECT LIMITED,Technology
CARERS 4 U LTD,Healthcare
CARERS AT HOME LIMITED,Healthcare
CARERS IN HERTFORDSHIRE,Healthcare
CARERS TO YOU LTD,Healthcare
CARERS WITH CARE LIMITED,Healthcare
CARESOFT ENGINEERING SERVICES LIMITED,Engineering
CARESOFT GLOBAL LIMITED,Technology
CARESURE LIMITED,Healthcare
CARETOUCH LIMITED,Healthcare
CAREUK LIVING LTD,Healthcare
CAREVANTAGE LTD,Healthcare
CAREWISE LTD,Healthcare
CAREYOURWAY HOMECARE LTD,Healthcare
CARGENBRIDGE LIMITED,Healthcare
CARGOCORP UK LTD,Finance
CARHOLME DENTAL GROUP LIMITED,Finance
CARIAD CARE GROUP LTD,Healthcare
CARING ANGELS LTD,Healthcare
CARING ARMS TOGETHER LTD,Healthcare
CARING CARE LIMITED,Healthcare
CARING CONNECTIONS LIMITED,Healthcare
CARING CREW LIMITED,Healthcare
CARING FEATHERS LTD,Healthcare
CARING FOCUS LIMITED,Healthcare
CARING FOR CARE LIMITED,Education
CARING HANDS HOME CARE SERVICES LTD,Healthcare
CARING HANDS LIMITED,Healthcare
CARING HEARTS HOMECARE LTD,Healthcare
CARING HOLDING TOPCO LTD,Finance
CARING LANE LIMITED,Healthcare
CARING PROFESSIONAL SOLUTIONS LIMITED,Healthcare
CARINGHEARTS SUPPORT SERVICES LTD,Healthcare
CARINGPLUS HEALTHCARE SERVICES LTD,Healthcare
CARINGSMART LTD,Healthcare
CARISBROOK DENTAL CARE LTD,Healthcare
CARISBROOKE DENTAL LEICESTER LIMITED,Healthcare
CARISBROOKE HEALTHCARE LTD,Healthcare
CARITAS DIOCESE OF SALFORD,Healthcare
CARITAS SUPPORT LTD,Healthcare
CARLETON COURT RESIDENTIAL HOME LTD,Healthcare
CARLTON DESIGN PARTNERSHIP LIMITED,Engineering
CARLTON HALL LIMITED,Healthcare
CARLUKE DIGNITY CARE LTD,Healthcare
CARMAND LTD,Healthcare
CARMENTA TECHNOLOGIES LTD,Technology
CARMIGNAC UK LTD,Finance
CAROLINA BUSINESS LIMITED,Technology
CARONS CARE LINE LTD,Healthcare
CARPENDERS CARE LIMITED,Healthcare
CARR GOMM,Healthcare
CARRCROFT CARE HOME LIMITED,Healthcare
CARRINGTON HOUSE LTD,Healthcare
CARROLL & PARTNERS LIMITED,Finance
CARSHALTON BOYS SPORTS COLLEGE,Education
CARTA FINANCIAL SERVICES LIMITED,Finance
CARTERS GREEN HEALTHCARE SERVICES LIMITED,Healthcare
CARTESIAN LIMITED,Technology
CARTODB UK LIMITED,Technology
CARVAL INVESTORS UK LIMITED,Finance
CARVALHO INDEPENDENT LIVING L LIMITED,Healthcare
CASA CARE LIMITED,Healthcare
CASA ENVIRONMENTAL SERVICES LTD,Engineering
CASBENS SUPPORTED LIVING COMMUNITY AND HOME SUPPORT SERVICES LTD,Healthcare
CASCADE (BANKS HOUSE) LIMITED,Healthcare
CASCADE (CHARLTON HOUSE) LIMITED,Healthcare
CASCADE (COHEN HOUSE) LIMITED,Healthcare
CASCADE (STILES HOUSE) LIMITED,Healthcare
CASE INTERNATIONAL EDUCATION LTD,Education
CASE45 LTD,Technology
CASEY CONSULTANTS LTD,Engineering
CASHDASH UK LIMITED,Technology
CASPER MUELLER KNEER LTD,Engineering
CASPERAKI MULTIMEDIA SOLUTIONS LTD.,Technology
CASPIAN HEALTHCARE LTD,Healthcare
CASPIAN SCHOOL OF ACADEMICS LTD,Education
CASSINI SYSTEMS LIMITED,Technology
CASSYNI LIMITED,Technology
CAST GROUP SERVICES LTD,Finance
CAST SOFTWARE LIMITED,Technology
CASTELL VENTURES LIMITED,Healthcare
CASTLE AIR LIMITED,Engineering
CASTLE DENE SURGERY LIMITED,Healthcare
CASTLE HARBOUR INVESTMENTS LIMITED,Finance
CASTLE HOUSE NURSING HOME LIMITED,Healthcare
CASTLE SCHOOL EDUCATION TRUST,Education
CASTLE TRUST CAPITAL PLC,Finance
CASTLEFIELD ADVISORY PARTNERS LIMITED,Finance
CASWELL CHIROPRACTIC LIMITED,Healthcare
CATALENT NOTTINGHAM LIMITED,Engineering
CATALYST CORPORATION LTD,Engineering
CATALYST IT EUROPE LIMITED,Technology
CATALYST PERFORMANCE LTD,Technology
CATALYST SPORT AND HEALTH LIMITED,Education
CATALYSTNEX LIMITED,Technology
CATAPULT LABS LTD,Technology
CATCH 22 CHARITY LIMITED,Healthcare
CATCY CARE LIMITED,Healthcare
CATHAY PACIFIC MANAGEMENT LTD,Technology
CATHEDRAL SCHOOLS TRUST,Education
CATHENA HEALTHCARE LIMITED,Healthcare
CATHERINE HOUSE LIMITED,Healthcare
CATHIE ASSOCIATES LIMITED,Engineering
CATO NETWORKS (UK) LIMITED,Technology
CATSCI LTD,Engineering
CATTO INTERNATIONAL LIMITED,Healthcare
CAUDALIE GROUP LIMITED,Finance
CAURI LTD,Technology
CAUSALY LTD,Technology
CAVENDISH CARE HOME LIMITED,Healthcare
CAVENDISH CLOSE LIMITED,Healthcare
CAVENDISH RESIDENTIAL CARE HOMES LIMITED,Healthcare
CAVILLION LTD,Education
CAWOOD SCIENTIFIC LIMITED,Engineering
CAYSURE DIGITAL LIMITED,Technology
CBA ASSOCIATES LIMITED,Technology
CBAMBOO LTD,Technology
CBC UK LIMITED,Finance
CBH WEALTH UK LIMITED,Finance
CBOE EUROPE LIMITED,Finance
CBR CLINICS LIMITED,Healthcare
CBS CONSULTING SERVICES LTD,Technology
CBS GLOBAL SOLUTION UK LIMITED,Engineering
CC HEALTH CARE LIMITED,Healthcare
CC MANAGEMENT CONSULTING LTD,Technology
CCBI GLOBAL MARKETS (UK) LIMITED,Finance
CCCU-UK,Education
CCL TECHNOLOGY SOLUTIONS LTD,Technology
CCL-FORENSICS LIMITED,Technology
CCT COMMUNITY ENABLEMENT TEAM LTD,Education
CD CAPITAL ASSET MANAGEMENT LIMITED,Finance
CDA SYSTEMS LIMITED,Technology
CDAM (UK) LIMITED,Finance
CDD HEALTHCARE STAFFING LTD,Healthcare
CDE GLOBAL LIMITED,Engineering
CDL GROUP HOLDINGS LIMITED,Technology
CDP AERO LTD,Engineering
CDP WORLDWIDE,Technology
CDTECHSOLUTIONS LTD,Technology
CDW LIMITED,Technology
CECIL EARTH UK LTD,Technology
CECILE HEALTHCARE UK LIMITED,Healthcare
CECURE INTELLIGENCE LIMITED,Technology
CEDAR BAY EVOLVE LTD,Technology
CEDAR CARE HOMES LIMITED,Healthcare
CEDAR HOUSE (KENT) LIMITED,Healthcare
CEDAR HOUSE CARE HOME LIMITED,Healthcare
CEDAR LAWN ROMSEY LIMITED,Healthcare
CEDAR TREE CARE HOME LTD,Healthcare
CEDARCARE (SE) LTD,Healthcare
CEDARWAYS RESIDENTIAL CHILD CARE LARKHILL HOUSE LIMITED,Healthcare
CEDARWOOD HOUSE LIMITED,Healthcare
CEDE FOUNDATION,Education
CEDE TECHNOLOGIES LTD,Finance
CEDUS LIMITED,Technology
CEEDA LTD,Healthcare
CEG ADMINISTRATIVE SERVICES LIMITED,Education
CEGEDIM RX LIMITED,Technology
CEI ENGLAND LIMITED,Technology
CEL HOMECARE LIMITED,Healthcare
CELCOM SOLUTIONS LTD,Technology
CELEBAL TECHNOLOGIES UK LTD,Technology
CELEBRUS TECHNOLOGIES PLC,Technology
CELESTIAL CROWN PARTNERS LTD,Healthcare
CELESTRIX LTD,Technology
CELFINET UK TELECOMMUNICATIONS CONSULTING SERVICES LTD,Engineering
CELFOCUS LTD,Technology
CELL SMASH LTD,Technology
CELLAR DOOR ARCHITECTURE LTD,Engineering
CELLBXHEALTH EUROPE LIMITED,Engineering
CELLCRAFT LTD.,Engineering
CELLINTA LTD,Engineering
CELLOMATICS BIOSCIENCES LIMITED,Engineering
CELLULAR PATHOLOGY SERVICES LIMITED,Healthcare
CELLVOYANT TECHNOLOGIES LIMITED,Engineering
CELONIS LTD,Technology
CELSTREAM CORPORATION LTD,Technology
CELTIS SOLUTIONS LIMITED,Technology
CELTRA LIMITED,Technology
CEMPLICITY UK LIMITED,Technology
CEN GROUP LTD,Technology
CEN-ESG LIMITED,Technology
CENEX (CENTRE OF EXCELLENCE FOR LOW CARBON AND FUEL CELL TECHNOLOGIES),Engineering
CENTA-CO LTD,Healthcare
CENTAURI CARE LTD,Healthcare
CENTAURI TECH LTD,Technology
CENTDOOR LIMITED,Technology
CENTER FOR COUNTERING DIGITAL HATE LTD,Technology
CENTER FOR CREATIVE LEADERSHIP LTD,Education
CENTERSQUARE INVESTMENT ADVISORS UK LTD,Finance
CENTILE PARTNERS ADVISORY LIMITED,Finance
CENTILLION TECHNOLOGY LIMITED,Engineering
CENTIUM SOFTWARE LIMITED,Technology
CENTIVA CAPITAL UK LTD,Finance
CENTRA TECHNOLOGY UK LIMITED,Technology
CENTRAL FLEET SOLUTIONS LTD,Engineering
CENTRAL MANCHESTER NETWORKS LTD,Healthcare
CENTRAL NORTH LEEDS PRIMARY CARE NETWORK LTD,Healthcare
CENTRAL ORTHODONTICS LIMITED,Healthcare
CENTRAL PARK DENTAL PRACTICE LIMITED,Healthcare
CENTRAL STAFFING LIMITED,Healthcare
CENTRAL SURREY HEALTH LIMITED,Healthcare
CENTRAL TRUST LIMITED,Finance
CENTRAL WEST PRIMARY CARE NETWORK LTD,Healthcare
